tic,Tmag,Teff,rad,bls_period,bls_sde,depth_ppm,rp_earth,n_transits,tls_period,tls_sde,tls_fap,tls_snr,tls_depth_ppm,tls_oddeven_sigma,tls_transits,passes_tls
260817968,13.8187,3478.0,0.328949,1.25814,8.62,8858.2,3.38,19,1.261,6.77,0.014005602,6.46,9000.0,1.16,18,False
87329149,12.9476,3387.0,0.319176,3.33601,9.98,2938.3,1.89,7,3.33602,6.72,0.015206082,8.18,3271.9,0.03,7,False
352289599,12.0154,3387.0,0.259326,5.84701,8.27,2234.8,1.34,4,5.84923,6.56,0.020488195,4.56,1863.6,0.38,4,False
66410455,12.6447,3271.0,0.268407,0.93845,8.03,990.3,0.92,22,1.12304,6.02,0.054981993,5.25,1577.8,0.62,20,False
166283631,12.3397,3351.0,0.295793,0.62563,9.2,883.6,0.96,37,0.62563,5.8,0.078271309,5.5,1063.6,0.46,37,False
265465650,11.9061,3363.0,0.255799,1.52878,8.54,1159.6,0.95,15,1.52915,5.71,0.090116046,4.94,1208.4,0.36,15,False
7129303,13.0812,3064.0,0.186814,7.52299,8.08,6809.7,1.68,3,7.52755,5.11,,5.09,5185.6,0.23,3,False
