tic,Tmag,Teff,rad,mass,d,fname,url
120248356,12.895,3214.0,0.289387,0.264555,41.5043,tess2026137223500-s0104-0000000120248356-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000120248356-0306-s_lc.fits
354605294,11.969,3553.0,0.289491,0.264673,73.9722061,tess2026137223500-s0104-0000000354605294-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000354605294-0306-s_lc.fits
61894353,13.9939,3174.0,0.290727,0.266073,68.2204,tess2026137223500-s0104-0000000061894353-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000061894353-0306-s_lc.fits
11637549,12.754,3265.0,0.290812,0.266169,40.7443,tess2026137223500-s0104-0000000011637549-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000011637549-0306-s_lc.fits
406173242,13.5876,2946.0,0.291089,0.266483,51.3532,tess2026137223500-s0104-0000000406173242-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000406173242-0306-s_lc.fits
237320519,12.526,3308.0,0.291115,0.266513,38.372,tess2026137223500-s0104-0000000237320519-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000237320519-0306-s_lc.fits
281779461,13.5956,3387.0,0.291259,0.266676,64.9641,tess2026137223500-s0104-0000000281779461-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000281779461-0306-s_lc.fits
75160399,8.36522,3386.0,0.291681,0.267154,5.88616,tess2026137223500-s0104-0000000075160399-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000075160399-0306-s_lc.fits
341461092,13.3158,3231.0,0.292173,0.267713,53.0539,tess2026137223500-s0104-0000000341461092-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000341461092-0306-s_lc.fits
79491341,12.4307,3281.0,0.292741,0.268357,35.8044,tess2026137223500-s0104-0000000079491341-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000079491341-0306-s_lc.fits
173056702,13.8252,3332.0,0.293595,0.269326,69.7053,tess2026137223500-s0104-0000000173056702-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000173056702-0306-s_lc.fits
281461138,13.0153,3036.0,0.293752,0.269505,41.6244,tess2026137223500-s0104-0000000281461138-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000281461138-0306-s_lc.fits
142350859,13.6657,3145.0,0.294103,0.269903,,tess2026137223500-s0104-0000000142350859-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000142350859-0306-s_lc.fits
79248089,12.7121,3271.0,0.295059,0.27099,41.3885,tess2026137223500-s0104-0000000079248089-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000079248089-0306-s_lc.fits
143894194,13.8764,3201.0,0.295348,0.271319,67.67,tess2026137223500-s0104-0000000143894194-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000143894194-0306-s_lc.fits
129766762,12.2222,3323.0,0.29542,0.271401,33.5524,tess2026137223500-s0104-0000000129766762-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000129766762-0306-s_lc.fits
406321123,11.3217,3308.0,0.295684,0.271701,22.9612,tess2026137223500-s0104-0000000406321123-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000406321123-0306-s_lc.fits
166283631,12.3397,3351.0,0.295793,0.271825,36.609,tess2026137223500-s0104-0000000166283631-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000166283631-0306-s_lc.fits
101947957,12.4561,3273.0,0.296919,0.273106,36.9988,tess2026137223500-s0104-0000000101947957-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000101947957-0306-s_lc.fits
79952399,12.6452,3280.0,0.298788,0.275235,41.5044,tess2026137223500-s0104-0000000079952399-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000079952399-0306-s_lc.fits
281599277,12.9901,3340.0,0.2995,0.276047,50.2053,tess2026137223500-s0104-0000000281599277-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000281599277-0306-s_lc.fits
161223769,12.9578,3466.0,0.300618,0.277323,51.9896,tess2026137223500-s0104-0000000161223769-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000161223769-0306-s_lc.fits
232064182,11.8155,3272.0,0.301026,0.277788,28.3944,tess2026137223500-s0104-0000000232064182-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000232064182-0306-s_lc.fits
322053216,11.5466,3284.0,0.301884,0.278768,24.9653,tess2026137223500-s0104-0000000322053216-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000322053216-0306-s_lc.fits
382914770,13.1216,3421.0,0.302308,0.279252,55.3705,tess2026137223500-s0104-0000000382914770-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000382914770-0306-s_lc.fits
331754686,10.7082,3410.0,0.302742,0.279748,18.3416,tess2026137223500-s0104-0000000331754686-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000331754686-0306-s_lc.fits
396910296,12.9107,3383.0,0.303092,0.280148,49.8481,tess2026137223500-s0104-0000000396910296-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000396910296-0306-s_lc.fits
49594649,12.8308,3362.0,0.304188,0.281402,49.2447,tess2026137223500-s0104-0000000049594649-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000049594649-0306-s_lc.fits
396169532,12.5484,3371.0,0.304279,0.281505,43.7035,tess2026137223500-s0104-0000000396169532-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000396169532-0306-s_lc.fits
360912453,13.0492,3089.0,0.30462,0.281895,45.9737,tess2026137223500-s0104-0000000360912453-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000360912453-0306-s_lc.fits
143999207,12.7561,3214.0,0.304887,0.2822,41.819,tess2026137223500-s0104-0000000143999207-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000143999207-0306-s_lc.fits
101513787,12.8527,3317.0,0.304938,0.282259,,tess2026137223500-s0104-0000000101513787-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000101513787-0306-s_lc.fits
229092385,12.722,3438.0,0.304952,0.282275,46.6108,tess2026137223500-s0104-0000000229092385-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000229092385-0306-s_lc.fits
101507892,12.8414,3350.0,0.305541,0.282949,47.5892,tess2026137223500-s0104-0000000101507892-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000101507892-0306-s_lc.fits
102028926,12.8745,3293.0,0.305753,0.283192,46.868,tess2026137223500-s0104-0000000102028926-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000102028926-0306-s_lc.fits
469972882,12.7634,3461.0,0.306135,0.283629,50.8087,tess2026137223500-s0104-0000000469972882-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000469972882-0306-s_lc.fits
158442595,11.7009,3143.0,0.306146,0.283641,38.3995132,tess2026137223500-s0104-0000000158442595-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000158442595-0306-s_lc.fits
325220064,11.726,3250.0,0.306221,0.283727,40.235157,tess2026137223500-s0104-0000000325220064-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000325220064-0306-s_lc.fits
253807090,12.2803,3212.0,0.30626,0.283772,34.1315,tess2026137223500-s0104-0000000253807090-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000253807090-0306-s_lc.fits
341116983,11.1946,3284.0,0.306745,0.284327,21.5672,tess2026137223500-s0104-0000000341116983-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000341116983-0306-s_lc.fits
197978113,12.2568,3325.0,0.306965,0.28458,36.4062,tess2026137223500-s0104-0000000197978113-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000197978113-0306-s_lc.fits
33525681,12.7768,3229.0,0.307079,0.28471,43.689,tess2026137223500-s0104-0000000033525681-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000033525681-0306-s_lc.fits
79273999,12.6552,3403.0,0.307906,0.285658,44.7712,tess2026137223500-s0104-0000000079273999-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000079273999-0306-s_lc.fits
7222629,11.8381,3424.0,0.308242,0.286043,31.5921,tess2026137223500-s0104-0000000007222629-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000007222629-0306-s_lc.fits
371796478,12.5799,3286.0,0.308791,0.286673,41.2785,tess2026137223500-s0104-0000000371796478-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000371796478-0306-s_lc.fits
111368201,13.8012,3326.0,0.309322,0.287281,73.1199,tess2026137223500-s0104-0000000111368201-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000111368201-0306-s_lc.fits
237883772,13.0906,3142.0,0.31015,0.288231,49.4604,tess2026137223500-s0104-0000000237883772-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000237883772-0306-s_lc.fits
231888176,10.8214,3366.0,0.310152,0.288234,19.3135,tess2026137223500-s0104-0000000231888176-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000231888176-0306-s_lc.fits
116880298,11.2215,3610.0,0.310208,0.288297,26.1672,tess2026137223500-s0104-0000000116880298-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000116880298-0306-s_lc.fits
229147247,12.8488,2950.0,0.310228,0.288321,,tess2026137223500-s0104-0000000229147247-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000229147247-0306-s_lc.fits
161334513,12.8523,3435.0,0.310913,0.289106,50.765,tess2026137223500-s0104-0000000161334513-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000161334513-0306-s_lc.fits
111267570,12.0632,3276.0,0.311473,0.28975,32.7886,tess2026137223500-s0104-0000000111267570-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000111267570-0306-s_lc.fits
7220124,12.0491,3454.0,0.311517,0.2898,35.8094,tess2026137223500-s0104-0000000007220124-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000007220124-0306-s_lc.fits
234299628,10.7205,3380.0,0.312106,0.290476,18.7242,tess2026137223500-s0104-0000000234299628-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000234299628-0306-s_lc.fits
341309168,12.839,3230.0,0.31283,0.291307,45.8181,tess2026137223500-s0104-0000000341309168-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000341309168-0306-s_lc.fits
311410850,13.6221,3255.0,0.312975,0.291474,65.9301,tess2026137223500-s0104-0000000311410850-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000311410850-0306-s_lc.fits
79180677,12.6984,3435.0,0.314017,0.292672,47.0389,tess2026137223500-s0104-0000000079180677-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000079180677-0306-s_lc.fits
469971791,12.1034,3334.0,0.314244,0.292933,34.8211,tess2026137223500-s0104-0000000469971791-0306-s_lc.fits,https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:TESS/product/tess2026137223500-s0104-0000000469971791-0306-s_lc.fits
